title,link,image,date
"SMEC leaders joined the conversation at Ozwater’25: Looking back, moving forward",https://www.smec.com/general/smec-at-ozwater25/,https://www.smec.com/wp-content/uploads/2025/04/Katse-Dam-Lesotho-Highlands-Water-Scheme.jpg,"May 7, 2025"
"SMEC’s Integrated Role in Shaping South Place, Deebing Heights",https://www.smec.com/general/smecs-integrated-role-in-shaping-south-place-deebing-heights/,https://www.smec.com/wp-content/uploads/2025/04/04_Streetscape_DeebingHeights_amend01_FINAL_low-res.resized.jpg,"Apr 15, 2025"
SMEC and ActivUs Alliance awarded Logan and Gold Coast Faster Rail Project,https://www.smec.com/general/smec-activus-aliance-awarded-logan-and-gold-coast-faster-rail/,https://www.smec.com/wp-content/uploads/2025/04/Logan-to-Gold-Coast-Image-2.png,"Apr 15, 2025"
It was another successful night for SMEC at the Consult Australia 2024/2025 Awards for Excellence!,https://www.smec.com/general/it-was-another-successful-night-for-smec-at-the-consult-australia-2024-2025-awards-for-excellence/,https://www.smec.com/wp-content/uploads/2025/03/CA_Awards.jpg,"Apr 1, 2025"
"SMEC Joins the British Hydropower Association, Supporting the UK’s Net Zero Transition",https://www.smec.com/general/smec-joins-the-british-hydropower-association-supporting-the-uks-net-zero-transition/,https://www.smec.com/wp-content/uploads/2025/03/UK-Hydropower_Banner.jpg,"Mar 21, 2025"
Celebrating Outstanding Performance in Vietnam’s Power Sector,https://www.smec.com/general/celebrating-outstanding-performance-in-vietnams-power-sector/,https://www.smec.com/wp-content/uploads/2025/03/Electricity-Vietnam-Team_LR.jpg,"Mar 19, 2025"
Empowering Rural Agricultural Through Solar Power,https://www.smec.com/general/empowering-rural-agricultural-solar-power/,https://www.smec.com/wp-content/uploads/2025/02/Solar-Project-Newsroom-Tile.jpg,"Feb 27, 2025"
SMEC shortlisted for eight submissions in the 2024/2025 Consult Australia Awards for Excellence,https://www.smec.com/general/smec-shortlisted-for-eight-submissions-in-the-2024-2025-consult-australia-awards-for-excellence/,https://www.smec.com/wp-content/uploads/2025/02/Consult-Australia-Finalists-Banner.jpg,"Feb 26, 2025"
TBM assembly signals next stage of excavation at Polihali Transfer Tunnel,https://www.smec.com/general/tbm-assembly-signals-next-stage-of-excavation-at-polihali-transfer-tunnel/,https://www.smec.com/wp-content/uploads/2025/02/Polihali-Transfer-Diversion-Tunnels-Lesotho.jpg,"Feb 13, 2025"
"Coega Special Economic Zone, Wastewater Treatment Works (Zone 5)",https://www.smec.com/general/coega-special-economic-zone-wastewater-treatment-works-zone-5/,https://www.smec.com/wp-content/uploads/2025/02/Coega-Special-Economic-Zone_Project-Scope.jpg,"Feb 7, 2025"
"Moremac Property Group and SMEC honoured at UDIA Awards, VIC",https://www.smec.com/general/moremac-property-group-and-smec-honoured-at-udia-awards-vic/,https://www.smec.com/wp-content/uploads/2024/11/The-point-banner.jpg,"Nov 29, 2024"
Kigali Innovation City – Engineer of Record Advisor,https://www.smec.com/general/kigali-innovation-city-engineer-of-record-advisor/,https://www.smec.com/wp-content/uploads/2024/11/Kigali_newsroom_banner.jpg,"Nov 25, 2024"
Cairns Regional Council launches visionary Urban Regeneration Project,https://www.smec.com/general/cairns-regional-council-launches-visionary-urban-regeneration-project/,https://www.smec.com/wp-content/uploads/2024/11/cairns-newsroom-banner.jpg,"Nov 19, 2024"
SMEC Foundation Celebrates the Inauguration of Harivillu 3 Anganwadi Project,https://www.smec.com/general/smec-foundation-celebrates-the-inauguration-of-harivillu-3-anganwadi-project/,https://www.smec.com/wp-content/uploads/2024/11/SMEC-Foundation-2024.jpg,"Nov 12, 2024"
Australian Water Awards: SMEC recognised for professional leadership and organisational excellence,https://www.smec.com/general/australian-water-awards-smec-recognised-for-professional-leadership-and-organisational-excellence/,https://www.smec.com/wp-content/uploads/2024/11/Australian-Water-Awards.banner.jpg,"Nov 12, 2024"
Molonglo 3 East Commended by the Planning Institute of Australia,https://www.smec.com/general/molonglo-3-east-commended-by-the-planning-institute-of-australia/,https://www.smec.com/wp-content/uploads/2024/11/Molonglo-newsroom-banner.jpg,"Nov 8, 2024"
SMEC collaborates with industry to inspire future Surveyors,https://www.smec.com/general/smec-collaborates-with-industry-to-inspire-future-surveyors/,https://www.smec.com/wp-content/uploads/2024/11/TAFE-1-1024x341-1.jpg,"Nov 8, 2024"
SMEC secures design role in transforming Zanzibar’s rural road infrastructure,https://www.smec.com/general/smec-secures-design-role-in-transforming-zanzibars-rural-road-infrastructure/,https://www.smec.com/wp-content/uploads/2024/11/Zanzibar-rural-roads-newsroom-banner.jpg,"Nov 5, 2024"
Bridging for the Future: SMEC Redefining Bridge Design and Standards for the Future,https://www.smec.com/uncategorized-sb/bridging-for-the-future-smec-redefining-bridge-design-and-standards-for-the-future/,https://www.smec.com/wp-content/uploads/2024/10/BCC-Breakfast-Creek-Green-Bridge-PN848-Green-Bridge-Move-20231109-frame-at-1m26s_med-1.jpg,"Oct 21, 2024"
"SMEC Secures PMCS role for Dar Es Salaam BRT, Phase 5",https://www.smec.com/general/smec-secures-pmc-role-for-dar-es-salaam-brt-phase-5/,https://www.smec.com/wp-content/uploads/2024/10/dar-es-salaam-newsroom-banner.jpg,"Oct 14, 2024"
SMEC Donates to Lupus Rural Awareness Initiative in Fiji,https://www.smec.com/general/smec-donates-to-lupus-rural-awareness-initiative-in-fiji/,https://www.smec.com/wp-content/uploads/2024/10/lupus-foundation-newsroom-banner2.jpg,"Oct 11, 2024"
"Global Hydropower Day 2024: Meet Neeta Arora, SMEC’s Hydropower Hero",https://www.smec.com/general/global-hydropower-day-2024/,https://www.smec.com/wp-content/uploads/2024/10/01c-Kameng.jpg,"Oct 10, 2024"
Advancing Renewable Energy Transformation: SMEC to Study Feasibility of Kuat I Hydropower Project in Papua New Guinea,https://www.smec.com/uncategorized-fiji/advancing-renewable-energy-transformation-smec-to-study-feasibility-of-kuat-i-hydropower-project-in-papua-new-guinea/,https://www.smec.com/wp-content/uploads/2024/09/Kuat-Headworks-Site.jpg,"Sep 20, 2024"
Planning advances at Prieska green ammonia precinct,https://www.smec.com/uncategorized-nz/planning-advances-at-prieska-green-ammonia-precinct/,https://www.smec.com/wp-content/uploads/2024/09/Prieska_wind-turbines.jpg,"Sep 17, 2024"
SMEC Supports Plastic Waste Recycling Project in Solomon Islands,https://www.smec.com/general/smec-supports-plastic-waste-recycling-project-in-solomon-islands/,https://www.smec.com/wp-content/uploads/2024/09/20240725_152618-scaled.jpg,"Sep 12, 2024"
Safeguarding the environment & communities: SMEC to lead ESIA for Malawi Eastern Transmission Line,https://www.smec.com/general/smec-lead-esia-malawi-eastern-transmission-line/,https://www.smec.com/wp-content/uploads/2024/09/Banner-ISP-Malawi-Edit.jpg,"Sep 6, 2024"
"SMEC honoured to support sustainable future of World Heritage-listed, Lord Howe Island",https://www.smec.com/general/smec-honoured-to-support-sustainable-future-of-world-heritage-listed-lord-howe-island/,https://www.smec.com/wp-content/uploads/2024/08/lord-howe.jpg,"Sep 2, 2024"
Montrose Interchange recognised at CESA Engineering Excellence Awards,https://www.smec.com/general/montrose-interchange-recognised-at-cesa-engineering-excellence-awards/,https://www.smec.com/wp-content/uploads/2024/08/CESA-newsroom-banner.jpg,"Aug 20, 2024"
"SMEC set to tackle water security in Rumphi Town, Malawi",https://www.smec.com/uncategorized-sz/smec-set-to-tackle-water-security-in-rumphi-town-malawi/,https://www.smec.com/wp-content/uploads/2024/08/Rukuru-River-Hastings-Mbale-Department-of-Water-Resources.2560x1285.jpg,"Aug 12, 2024"
SMEC at the Dam Safety Conference in India 2024: Key Takeaways,https://www.smec.com/general/smec-at-the-dam-safety-conference-in-india-2024-key-takeaways/,https://www.smec.com/wp-content/uploads/2024/08/IND-Dam-Conference-Recap-Banner.jpg,"Aug 2, 2024"
Digital by default – SMEC shines at recent 12d Technical Forum,https://www.smec.com/general/digital-by-default-smec-shines-at-recent-12d-technical-forum/,https://www.smec.com/wp-content/uploads/2024/08/WhatsApp-Image-2024-07-29-at-7.10.13-PM-scaled.jpeg,"Aug 2, 2024"
Workplace Gender Equality Agency (WGEA) Recognises SMEC as an Employer of Choice in Gender Equality,https://www.smec.com/media-release/workplace-gender-equality-agency-wgea-recognises-smec-as-an-employer-of-choice-in-gender-equality/,https://www.smec.com/wp-content/uploads/2024/08/Press-release-template-WGEA.jpg,"Aug 2, 2024"
SMEC Reaffirms Support for Clean Transport Solutions at ADB Event,https://www.smec.com/general/smec-reaffirms-support-for-clean-transport-solutions-at-adb-event/,https://www.smec.com/wp-content/uploads/2024/07/ADB-Transport-Forum-01.jpeg,"Jul 29, 2024"
SMEC awarded Detailed Design for Seqwater’s North Pine Dam Staged Strengthening Project,https://www.smec.com/general/smec-awarded-detailed-design-for-seqwaters-north-pine-dam-staged-strengthening-project/,https://www.smec.com/wp-content/uploads/2024/07/NP_Geotech-3-scaled.jpg,"Jul 26, 2024"
"Enhancing sanitation and education for earthquake victims in West Pasaman, Indonesia",https://www.smec.com/general/enhancing-sanitation-and-education-for-earthquake-victims-in-west-pasaman-indonesia/,https://www.smec.com/wp-content/uploads/2024/07/WESTPA2.png,"Jul 22, 2024"
Tree planting activity in the Philippines – leaving a legacy for future generations,https://www.smec.com/general/tree-planting-activity-in-the-philippines-leaving-a-legacy-for-future-generations/,https://www.smec.com/wp-content/uploads/2024/07/PH-2024-Tree-Planting-10-scaled-e1721110006940.jpeg,"Jul 16, 2024"
SMEC donates air conditioning unit and computers to Young Focus Philippines,https://www.smec.com/general/smec-donates-air-conditioning-unit-and-computers-to-young-focus-philippines/,https://www.smec.com/wp-content/uploads/2024/07/CSR-PH-Young-Focus-04-scaled.jpeg,"Jul 16, 2024"
SMEC mobilises team for Arusha–Holili Road Improvement,https://www.smec.com/general/smec-appointed-to-provide-consultancy-services-for-arusha-holili-road-improvement-project/,https://www.smec.com/wp-content/uploads/2024/07/iStock-1486996078-scaled.jpg,"Jul 16, 2024"
SMEC unveils global growth plans and bold new look as it celebrates 75 years in business,https://www.smec.com/general/smec-unveils-global-growth-plans-and-bold-new-look-as-it-celebrates-75-years-in-business/,https://www.smec.com/wp-content/uploads/2024/07/smec_banner_placeholder.jpg,"Jul 6, 2024"
SMEC fosters innovation and collaboration at PICE 2024 Mid-Year Convention,https://www.smec.com/general/smec-fosters-innovation-and-collaboration-at-pice-2024-mid-year-convention/,https://www.smec.com/wp-content/uploads/2024/06/20240615_071350568_iOS-1.jpg,"Jun 21, 2024"
SMEC to Lead Environmental and Social Assessment for Kambarata-1 Hydropower Plant Project in Central Asia,https://www.smec.com/project-win/smec-to-lead-environmental-and-social-assessment-for-kambarata-1-hydropower-plant-project-in-central-asia/,https://www.smec.com/wp-content/uploads/2024/06/river-scaled.jpg,"Jun 21, 2024"
SMEC engaged as lead design consultant for Australia’s newest city,https://www.smec.com/general/bradfield-city-western-sydney-nsw/,https://www.smec.com/wp-content/uploads/2024/06/220922_WSY-AIR_Aerial-Final-Render.bradfield.jpg,"Jun 13, 2024"
SMEC awarded Concept Design for critical water storage project in the Northern Territory,https://www.smec.com/general/smec-awarded-concept-design-critical-water-storage-project-northern-territory/,https://www.smec.com/wp-content/uploads/2024/06/AROWS-media-release.jpg,"Jun 13, 2024"
SMEC wins key project to enhance water treatment facilities in the Philippines,https://www.smec.com/general/smec-wins-key-project-to-enhance-water-treatment-facilities-in-the-philippines/,https://www.smec.com/wp-content/uploads/2024/06/enhancing-wtfs-in-the-philippines1.jpg,"Jun 13, 2024"
"Lunyangwa Dam Safety Management Plan, Malawi",https://www.smec.com/general/lunyangwa-dam-safety-management-plan-malawi/,https://www.smec.com/wp-content/uploads/2024/06/Lunyangwa-Dam-Photo.banner.jpeg,"Jun 11, 2024"
Mtentu Bridge: Africa’s tallest and longest cantilever bridge in the making,https://www.smec.com/uncategorized-zm/mtentu-bridge-africas-tallest-and-longest-cantilever-bridge-in-the-making/,https://www.smec.com/wp-content/uploads/2024/06/Mtentu-Artist-Impressions-2.jpg,"Jun 11, 2024"
"SMEC at the Hydropower Africa Roundtable in Abuja, Nigeria: Insights and Actions",https://www.smec.com/general/smec-at-the-hydropower-africa-roundtable-in-abuja-nigeria-insights-and-actions/,https://www.smec.com/wp-content/uploads/2024/06/HydroAfrica3-1-scaled.jpg,"Jun 11, 2024"
SMEC highlights commitment to sustainable development at the 39th Australia PNG Business Forum,https://www.smec.com/general/smec-highlights-commitment-to-sustainable-development-at-the-39th-australia-png-business-forum/,https://www.smec.com/wp-content/uploads/2024/06/AUS-PNG-2.png,"Jun 10, 2024"
Kassier Road Project Site Visit,https://www.smec.com/general/kassier-road-project-site-visit/,https://www.smec.com/wp-content/uploads/2024/06/4.jpg,"Jun 6, 2024"
Gabiro Agribusiness Hub – Phase one completion: Pioneering sustainable agricultural solutions in Rwanda,https://www.smec.com/media-release/gabiro-agribusiness-hub-phase-one-completion-pioneering-sustainable-agricultural-solutions-in-rwanda/,https://www.smec.com/wp-content/uploads/2024/06/MediaRelease_Gabiro.jpg,"Jun 5, 2024"
"SMEC to oversee Shire Valley Irrigation (Phase II), Malawi",https://www.smec.com/general/smec-to-oversee-shire-valley-irrigation-phase-ii-malawi/,https://www.smec.com/wp-content/uploads/2024/08/Malawi-shire-valley-transformation-tile-scaled-1.jpg,"Jun 5, 2024"
Specialists from Surbana Jurong and SMEC present at Singapore International Water Week.,https://www.smec.com/general/specialists-from-surbana-jurong-and-smec-present-at-singapore-international-water-week/,https://www.smec.com/wp-content/uploads/2024/06/SIWW-Social-Post-SIngapore-Image-scaled.jpg,"Jun 4, 2024"
"SMEC and CCD partner anew for tree planting initiative in Pu Luong Nature Reserve, Vietnam",https://www.smec.com/general/smec-and-ccd-partner-anew-for-tree-planting-initiative-in-pu-luong-nature-reserve-vietnam/,https://www.smec.com/wp-content/uploads/2024/06/DSC0221_sml.jpg,"Jun 3, 2024"
SMEC representatives acknowledged by Vice President of Tanzania at 30th FIDIC Africa Infrastructure Conference,https://www.smec.com/general/smec-representatives-acknowledged-by-vice-president-of-tanzania-at-30th-fidic-africa-infrastructure-conference/,https://www.smec.com/wp-content/uploads/2024/05/DSC_0030-scaled.jpg,"May 31, 2024"
SMEC nominees shortlisted for Consult Australia Awards for Excellence 2023-2024,https://www.smec.com/awards/smec-nominees-shortlisted-for-consult-australia-awards-for-excellence-2023-2024/,https://www.smec.com/wp-content/uploads/2024/05/Consult-Australia-Gala-Dinner-2023-24-Jackson-Stokes_2.jpg,"May 30, 2024"
2023 SMEC Foundation Annual Report,https://www.smec.com/general/2023-smec-foundation-annual-report/,https://www.smec.com/wp-content/uploads/2024/05/SF_Newspaper-Mockup.jpg,"May 30, 2024"
SMEC signs Memorandum of Understanding to become a Knowledge Partner for the Ministry of Transport in Tajikistan.,https://www.smec.com/general/smec-signs-memorandum-of-understanding-to-become-a-knowledge-partner-for-the-ministry-of-transport-in-tajikistan/,https://www.smec.com/wp-content/uploads/2024/05/THE-pm.jpg,"May 30, 2024"
SMEC Triumphs with Three Top Honours at the 2023/24 Consult Australia Awards,https://www.smec.com/general/smec-triumphs-with-three-top-honours-at-the-2023-24-consult-australia-awards/,https://www.smec.com/wp-content/uploads/2024/05/Consult_Australia_Awards_Cropped-scaled.jpg,"May 30, 2024"
SMEC wins road sector institutional and governance review project in Micronesia,https://www.smec.com/general/smec-wins-road-sector-institutional-and-governance-review-project-in-micronesia/,https://www.smec.com/wp-content/uploads/2024/05/Picture1.jpg,"May 30, 2024"
Townsville Connection Road Upgrade,https://www.smec.com/general/townsville-connection-road-upgrade/,https://www.smec.com/wp-content/uploads/2024/05/DJI_0089_approved-1-scaled.jpg,"May 21, 2024"
Successful Tender Design Win for SMEC and Fulton Hogan on Mount Ousley Interchange,https://www.smec.com/project-win/successful-tender-design-win-for-smec-and-fulton-hogan-on-mount-ousley-interchange/,https://www.smec.com/wp-content/uploads/2024/05/Lowres-220726-TransportNSW-53696.jpg,"May 20, 2024"
SMEC continues to support critical Western Australian infrastructure,https://www.smec.com/general/smec-continues-to-support-critical-western-australian-infrastructure/,https://www.smec.com/wp-content/uploads/2024/05/Causeway-Pedestrian-Cyclist-Bridges-Approved-scaled.jpg,"May 16, 2024"
Mandurah Estuary Bridge Duplication Project,https://www.smec.com/general/mandurah-estuary-bridge-duplication-project/,https://www.smec.com/wp-content/uploads/2024/05/Mandurah-Bridge-Duplication-hero-image.rev_.jpg,"May 6, 2024"
SMEC joins the British Dams Society,https://www.smec.com/general/smec-joins-the-british-dams-society/,https://www.smec.com/wp-content/uploads/2024/05/british-dam-society.jpg,"May 6, 2024"
"SMEC, Metis Energy, and PCL Constructions join forces for the Gunsynd Solar project",https://www.smec.com/general/smec-metis-energy-and-pcl-constructions-join-forces-for-the-gunsynd-solar-project/,https://www.smec.com/wp-content/uploads/2024/05/Gunsynd-Solar-2024-PCL-Vehicle-Cropped-Banner-1.png,"May 3, 2024"
Sydney Build Expo 2024 Speakers,https://www.smec.com/general/sydney-build-expo-2024-speakers/,https://www.smec.com/wp-content/uploads/2024/04/sydney-build-expo-banner.jpg,"Apr 30, 2024"
"Earth Day 2024 Clean-Up & Awareness Activity at Kinara Park, Rawal Lake, Islamabad",https://www.smec.com/general/earth-day-2024-clean-up-awareness-activity-at-kinara-park-rawal-lake-islamabad/,https://www.smec.com/wp-content/uploads/2024/04/1181277_3572685_earth_akhbar_jpg.jpg,"Apr 30, 2024"
Building Futures Together: SMEC and AFFLIP’s Partnership for Schools in the Philippines,https://www.smec.com/general/building-futures-together-smec-and-afflips-partnership-for-schools-in-the-philippines/,https://www.smec.com/wp-content/uploads/2024/04/AFFLIP-Dolores-03-scaled.jpg,"Apr 26, 2024"
SMEC representatives acknowledged by the President of Zanzibar,https://www.smec.com/general/smec-representatives-acknowledged-by-the-president-of-zanzibar/,https://www.smec.com/wp-content/uploads/2024/04/IAESZ-newsroom-banner.jpg,"Apr 25, 2024"
SMEC South Africa collaborates with The PEACE Programme,https://www.smec.com/general/smec-south-africa-collaborates-with-the-peace-programme/,https://www.smec.com/wp-content/uploads/2024/04/School-Engagement-5.jpg,"Apr 18, 2024"
World Tunnel Congress 2024 Speakers,https://www.smec.com/general/world-tunnel-congress-2024-speakers/,https://www.smec.com/wp-content/uploads/2024/04/world-tunnel-congress-2024-speakers.jpg,"Apr 17, 2024"
SMEC champions women’s leadership at ASEAN-Australia workshop in Jakarta,https://www.smec.com/general/smec-champions-womens-leadership-at-asean-australia-workshop-in-jakarta/,https://www.smec.com/wp-content/uploads/2024/04/ASEAN-Australia-Workshop.Newsroom.banner.jpg,"Apr 16, 2024"
SMEC appointed as Project Verifier for Singleton Bypass Project,https://www.smec.com/general/smec-appointed-as-project-verifier-for-singleton-bypass-project/,https://www.smec.com/wp-content/uploads/2024/10/Singleton-pipeline.jpg,"Feb 28, 2024"
SMEC and Lombardi partner with Upper Hunter Hydro,https://www.smec.com/media-release/smec-and-lombardi-partner-with-upper-hunter-hydro/,https://www.smec.com/wp-content/uploads/2024/05/UHH_Approved-Image-4-scaled.jpg,"Feb 27, 2024"
Kumasi Water and Sanitation Masterplan,https://www.smec.com/general/kumasi-water-and-sanitation-masterplan/,https://www.smec.com/wp-content/uploads/2024/04/kumasi-sanitation-masterplan.citizen.banner.1024x341.jpg,"Feb 26, 2024"
Msikaba bridge reaches new heights,https://www.smec.com/general/msikaba-bridge-reaches-new-heights/,https://www.smec.com/wp-content/uploads/2024/08/1.-South-Pylon-Construction-November-2023.HERO_.jpg,"Dec 13, 2023"
"Accra East Water Loss Reduction project, Ghana",https://www.smec.com/general/accra-east-water-loss-reduction-project-ghana/,https://www.smec.com/wp-content/uploads/2024/08/Accrawater.HERO_.1024x341.jpg,"Dec 13, 2023"
SMEC at AAC2023: Locally led development and impactful partnerships,https://www.smec.com/general/smec-joins-australian-aid-conference/,https://www.smec.com/wp-content/uploads/2024/08/Australasian-AID-Conference-2023.Hero_.jpg,"Dec 12, 2023"
SMEC joins historic inauguration of new Munda Airport in Solomon Islands,https://www.smec.com/general/smec-joins-historic-inauguration-of-new-munda-airport-in-solomon-islands/,https://www.smec.com/wp-content/uploads/2024/11/munda-airport-banner.jpg,"Nov 21, 2023"
"SMEC and Surbana Jurong join Africa New Cities Summit, Kigali",https://www.smec.com/general/smec-and-surbana-jurong-join-africa-new-cities-summit-kigali/,https://www.smec.com/wp-content/uploads/2024/08/Kigali-New-Cities-Summit-1.HERO_.jpg,"Nov 20, 2023"
"Nkana Water Supply and Sanitation Project Phase II, Zambia",https://www.smec.com/general/nkana-water-supply-and-sanitation-project-phase-ii-zambia/,https://www.smec.com/wp-content/uploads/2024/08/Nkana-site-visit.newsroom-banner.jpg,"Oct 31, 2023"
SMEC’s tunnelling specialists present at the Australasian Tunnelling Conference 2023 in Auckland,https://www.smec.com/general/smecs-tunnelling-specialists-present-at-the-australasian-tunnelling-conference-2023-in-auckland/,https://www.smec.com/wp-content/uploads/2023/10/anz-tunelling-conference.jpg,"Oct 26, 2023"
Inauguration of Bangabandhu Sheikh Mujibur Rahman Tunnel,https://www.smec.com/media-release/inauguration-of-bangabandhu-sheikh-mujibur-rahman-tunnel/,https://www.smec.com/wp-content/uploads/2024/08/Newsroom-Media-Release-Karnaphuli.jpg,"Oct 23, 2023"
SMEC presents at 2023 All-Energy Conference in Sydney,https://www.smec.com/general/smec-presents-at-2023-all-energy-conference-in-sydney/,https://www.smec.com/wp-content/uploads/2023/10/all-energy-banner-newsroom.jpg,"Oct 16, 2023"
SMEC partners anew with Vietnamese NGO to aid underprivileged children,https://www.smec.com/general/smec-partners-anew-with-vietnamese-ngo-to-aid-underprivileged-children/,https://www.smec.com/wp-content/uploads/2023/10/Blue-Dragon-CSR-Kitchen-for-Kids-2023-01.png,"Oct 13, 2023"
SMEC presents at ANCOLD 2023 conference in Cairns,https://www.smec.com/general/smec-presents-at-ancold-2023-conference-in-cairns/,https://www.smec.com/wp-content/uploads/2023/10/ancold-speaker-newsroom-1024x341-1.jpg,"Oct 9, 2023"
SMEC awards funding for innovative Green Hydrogen Methodology,https://www.smec.com/general/smec-awards-funding-for-innovative-green-hydrogen-methodology/,https://www.smec.com/wp-content/uploads/2023/10/future-energy-2-1.jpg,"Oct 5, 2023"
"Habibie Razak talks with Konstruksi Media magazine, Indonesia",https://www.smec.com/general/habibie-razak-talks-with-konstruksi-media-magazine-indonesia/,https://www.smec.com/wp-content/uploads/2023/10/20231002_105346_edit_banner-scaled.jpg,"Oct 4, 2023"
